y_true,WDNN_prob,WDNN_pred,fWDNN_prob,fWDNN_pred,RF_prob,RF_pred,LR_prob,LR_pred,SVM_prob,SVM_pred,lightGBM_prob,lightGBM_pred,label
1.0,0.7509181,1,0.40566993,0,0.45,0.0,0.9825299973884056,1.0,0.6046707588337031,1.0,0.7797995591494118,1.0,EUCASTv11_COL
1.0,0.051854253,0,0.6060062,1,0.37,0.0,0.21034830678758848,0.0,0.2516711172503736,0.0,0.07041980636853813,0.0,EUCASTv11_COL
0.0,0.049084395,0,0.02763182,0,0.13,0.0,0.2503033385059,0.0,0.29933488969945915,0.0,0.29344380590958863,0.0,EUCASTv11_COL
0.0,0.0006620586,0,0.6462465,1,0.31,0.0,0.00046981128733572904,0.0,0.10649465876963514,0.0,0.07748293080272382,0.0,EUCASTv11_COL
0.0,0.00540784,0,0.8798827,1,0.36,0.0,0.0014871919761373857,0.0,0.12816856575959576,0.0,0.014048652554135987,0.0,EUCASTv11_COL
0.0,0.008601487,0,0.027236968,0,0.12,0.0,0.009148835429568753,0.0,0.17026928049398088,0.0,0.019289051307654584,0.0,EUCASTv11_COL
0.0,0.1442059,0,0.33809465,0,0.28,0.0,0.9301493451103295,1.0,0.47284230571442554,1.0,0.7264441701135316,1.0,EUCASTv11_COL
0.0,0.09791276,0,0.12877601,0,0.3,0.0,0.0294625803908978,0.0,0.21250045035318485,0.0,0.02618266306521972,0.0,EUCASTv11_COL
1.0,0.0056283474,0,0.05213186,0,0.17,0.0,0.0018288363640685827,0.0,0.13556072815974265,0.0,0.17119842118427847,0.0,EUCASTv11_COL
0.0,0.15002093,0,0.86368877,1,0.16,0.0,0.1495878928920081,0.0,0.26793553726897323,0.0,0.007552380498530368,0.0,EUCASTv11_COL
0.0,0.05714169,0,0.08259687,0,0.21,0.0,0.029955154372998317,0.0,0.20049014835698484,0.0,0.012522588211356385,0.0,EUCASTv11_COL
0.0,0.025363177,0,0.10366574,0,0.12,0.0,0.0005389959551429281,0.0,0.10527715758214087,0.0,0.004026750624616961,0.0,EUCASTv11_COL
0.0,0.018867075,0,0.0033050478,0,0.09,0.0,0.0027628736275243995,0.0,0.14766514392123103,0.0,0.0020505470527631283,0.0,EUCASTv11_COL
0.0,0.0103268325,0,0.004985839,0,0.01,0.0,0.018896399551675845,0.0,0.18196807143398938,0.0,0.013053541310973308,0.0,EUCASTv11_COL
0.0,0.09813273,0,0.014521271,0,0.22,0.0,0.0810909482183681,0.0,0.27463229078950646,0.0,0.012647908308002352,0.0,EUCASTv11_COL
0.0,0.0012589991,0,0.009214848,0,0.2,0.0,4.140669239912688e-05,0.0,0.07334820753119856,0.0,0.0012043126889478574,0.0,EUCASTv11_COL
0.0,0.025365531,0,0.018157125,0,0.15,0.0,0.004492270119142365,0.0,0.15319874930774202,0.0,0.012747520568167208,0.0,EUCASTv11_COL
1.0,0.0715974,0,0.9844018,1,0.36,0.0,0.09267600386021925,0.0,0.2098132181190925,0.0,0.06427712292993536,0.0,EUCASTv11_COL
1.0,0.11651158,0,0.021750629,0,0.19,0.0,0.1833366126114812,0.0,0.28154532853246816,0.0,0.11168200032127595,0.0,EUCASTv11_COL
0.0,0.0002130568,0,0.0014217198,0,0.03,0.0,0.0002535221783682115,0.0,0.07330738139723414,0.0,0.0034169288433712757,0.0,EUCASTv11_COL
0.0,0.0743798,0,0.9492541,1,0.26,0.0,0.23955518938134798,0.0,0.2733267624663157,0.0,0.5269163415149248,1.0,EUCASTv11_COL
0.0,0.011388868,0,0.027368456,0,0.05,0.0,0.0074239812268525945,0.0,0.15312897047333485,0.0,0.007428644278486565,0.0,EUCASTv11_COL
0.0,0.76109755,1,0.9992136,1,0.5,0.0,0.7478252310493658,1.0,0.3865790603607091,1.0,0.012707638410418838,0.0,EUCASTv11_COL
1.0,0.011136174,0,0.012722075,0,0.13,0.0,0.00033025169013121313,0.0,0.08956909683320707,0.0,0.028430115516977827,0.0,EUCASTv11_COL
