y_true,WDNN_prob,WDNN_pred,fWDNN_prob,fWDNN_pred,RF_prob,RF_pred,LR_prob,LR_pred,SVM_prob,SVM_pred,lightGBM_prob,lightGBM_pred,label
1.0,0.9852319,1,0.9945208,1,0.75,1.0,0.6597032427502855,1.0,0.8245766884120874,0.0,0.9977530990324047,1.0,EUCASTv11_TIC
1.0,0.9802315,1,0.9999639,1,0.99,1.0,0.9985630182294243,1.0,0.9317651829470758,1.0,0.991981390283169,1.0,EUCASTv11_TIC
1.0,0.98363054,1,0.99988455,1,0.92,1.0,0.9998547238035105,1.0,0.9660819015919976,1.0,0.9985068687114038,1.0,EUCASTv11_TIC
1.0,0.9788607,1,0.99824977,1,0.89,1.0,0.982246410386169,1.0,0.9065424802413458,1.0,0.9737082085993496,1.0,EUCASTv11_TIC
1.0,0.99577934,1,0.99996436,1,0.98,1.0,0.9953766207099578,1.0,0.9364379947273009,1.0,0.9976799633822231,1.0,EUCASTv11_TIC
1.0,0.99460006,1,0.996194,1,0.84,1.0,0.9999728435034271,1.0,0.9727090913085376,1.0,0.9998657176214749,1.0,EUCASTv11_TIC
0.0,0.97601265,1,0.999966,1,0.99,1.0,0.9998453741573228,1.0,0.9646714436137415,1.0,0.9998443626473152,1.0,EUCASTv11_TIC
1.0,0.9915067,1,0.99996436,1,0.99,1.0,0.9999643219465596,1.0,0.9693128602810307,1.0,0.9999488643274564,1.0,EUCASTv11_TIC
1.0,0.9925748,1,0.99994594,1,1.0,1.0,0.9993311527392281,1.0,0.9483053181893839,1.0,0.9999069756589866,1.0,EUCASTv11_TIC
1.0,0.9881803,1,0.9999347,1,0.98,1.0,0.9984875753085632,1.0,0.9478895561247969,1.0,0.9990225216952877,1.0,EUCASTv11_TIC
0.0,0.9901041,1,0.999961,1,1.0,1.0,0.9987710756189033,1.0,0.9349232104679367,1.0,0.999326159898824,1.0,EUCASTv11_TIC
1.0,0.97450817,1,0.9998112,1,0.92,1.0,0.99902525952186,1.0,0.941166408899402,1.0,0.9982514862200598,1.0,EUCASTv11_TIC
1.0,0.98326015,1,0.9999678,1,0.96,1.0,0.9966374080093724,1.0,0.9317434143962003,1.0,0.9995543296929064,1.0,EUCASTv11_TIC
