y_true,WDNN_prob,WDNN_pred,fWDNN_prob,fWDNN_pred,RF_prob,RF_pred,LR_prob,LR_pred,SVM_prob,SVM_pred,lightGBM_prob,lightGBM_pred,label
0.0,0.8530232,1,0.21860355,0,0.36,0.0,0.4088542960955181,0.0,0.32155380837230485,0.0,0.4242899442651391,0.0,EUCASTv11_TOB
1.0,0.99298316,1,0.99628437,1,0.64,1.0,0.8733672407223652,1.0,0.51525642078922,1.0,0.38222693859789164,0.0,EUCASTv11_TOB
1.0,0.9980419,1,0.9999994,1,0.96,1.0,0.9999211517620245,1.0,0.8249685160251196,1.0,0.9984371703746378,1.0,EUCASTv11_TOB
0.0,0.004420817,0,0.034061193,0,0.23,0.0,0.0014438630207677593,0.0,0.1630550580454299,0.0,0.006898837749759945,0.0,EUCASTv11_TOB
0.0,0.06509888,0,0.034702778,0,0.34,0.0,0.15088074496795834,0.0,0.3646043482644224,0.0,0.15945682437860925,0.0,EUCASTv11_TOB
0.0,0.9978569,1,0.9998947,1,0.79,1.0,0.8757821865503667,1.0,0.6126594994852071,1.0,0.6191850562557516,1.0,EUCASTv11_TOB
0.0,0.0032310486,0,0.044133484,0,0.23,0.0,0.02078617580372867,0.0,0.26831672341393475,0.0,0.03566932302117602,0.0,EUCASTv11_TOB
1.0,0.9854301,1,0.9999992,1,1.0,1.0,0.9997856864337188,1.0,0.7734905560970903,1.0,0.9996226914707226,1.0,EUCASTv11_TOB
1.0,0.98052704,1,0.9999649,1,0.79,1.0,0.777088221042938,1.0,0.5872651628877295,1.0,0.6412978085243745,1.0,EUCASTv11_TOB
1.0,0.47375357,0,0.7388842,1,0.41,0.0,0.13921884479619995,0.0,0.216423465213261,0.0,0.3965107486186413,0.0,EUCASTv11_TOB
0.0,0.0018494129,0,0.000834465,0,0.03,0.0,0.0077655629568263015,0.0,0.1703164478918993,0.0,0.005769316970426201,0.0,EUCASTv11_TOB
1.0,0.8245889,1,0.99924636,1,0.66,1.0,0.3242096226270757,0.0,0.3099781039524808,0.0,0.20696928375823673,0.0,EUCASTv11_TOB
0.0,0.009845018,0,0.0003055036,0,0.08,0.0,0.004220764624537218,0.0,0.2881663781448626,0.0,0.0026759579951034897,0.0,EUCASTv11_TOB
1.0,0.99832296,1,0.9646297,1,0.52,1.0,0.5029787812092225,1.0,0.4345793421471175,1.0,0.8224361988946578,1.0,EUCASTv11_TOB
0.0,0.27071053,0,0.00043675303,0,0.14,0.0,0.2926952326794961,0.0,0.5797572869691349,1.0,0.017745522909762976,0.0,EUCASTv11_TOB
1.0,0.99887747,1,0.99998844,1,0.76,1.0,0.972634499720404,1.0,0.6779740420356466,1.0,0.9308498050711712,1.0,EUCASTv11_TOB
0.0,0.514582,1,0.0035804212,0,0.26,0.0,0.04511898907698479,0.0,0.3603729216081282,0.0,0.10796698980287352,0.0,EUCASTv11_TOB
1.0,0.9824536,1,0.99999917,1,1.0,1.0,0.9995746205100063,1.0,0.7647657395124247,1.0,0.9995424443343801,1.0,EUCASTv11_TOB
0.0,0.20681086,0,0.02867192,0,0.27,0.0,0.09277699741291422,0.0,0.30880249427739265,0.0,0.05768384882040639,0.0,EUCASTv11_TOB
1.0,0.98973,1,0.99995303,1,0.72,1.0,0.9989339810333812,1.0,0.8048627157004262,1.0,0.9980582882686201,1.0,EUCASTv11_TOB
0.0,0.040719777,0,0.06178254,0,0.37,0.0,0.049101337419152506,0.0,0.33724920764519584,0.0,0.09239229320090148,0.0,EUCASTv11_TOB
0.0,0.0008328557,0,0.15200576,0,0.26,0.0,0.022108532155121565,0.0,0.32097889340681857,0.0,0.520052621342357,1.0,EUCASTv11_TOB
0.0,0.27844322,0,0.123615265,0,0.31,0.0,0.039311746898931625,0.0,0.19712838193292823,0.0,0.0807209978746077,0.0,EUCASTv11_TOB
0.0,0.004556775,0,0.0008672476,0,0.1,0.0,0.03828117629161394,0.0,0.26490696383830037,0.0,0.007321844485362347,0.0,EUCASTv11_TOB
1.0,0.9998218,1,0.99997383,1,0.82,1.0,0.9997571410681478,1.0,0.9126023066685938,1.0,0.992907751699166,1.0,EUCASTv11_TOB
0.0,0.0014835894,0,0.00029581785,0,0.07,0.0,0.0007783684849380731,0.0,0.18703332891842306,0.0,0.010693424372705283,0.0,EUCASTv11_TOB
0.0,0.009632498,0,0.027845621,0,0.11,0.0,0.006337222634312165,0.0,0.2978244755299343,0.0,0.10070902647599705,0.0,EUCASTv11_TOB
0.0,0.0001334548,0,0.009636551,0,0.14,0.0,0.00013544465975882136,0.0,0.08084295617207253,0.0,0.0002833102143842846,0.0,EUCASTv11_TOB
0.0,7.4585074e-08,0,0.85742676,1,0.48,0.0,4.422945463338687e-05,0.0,0.09770641632066784,0.0,0.4655334143388836,0.0,EUCASTv11_TOB
0.0,0.91074866,1,0.0109139085,0,0.23,0.0,0.8452984866831319,1.0,0.6200583388841314,1.0,0.03295402704403991,0.0,EUCASTv11_TOB
1.0,0.9400662,1,0.9999938,1,0.97,1.0,0.9781533963494183,1.0,0.5626831583839448,1.0,0.9966803625004352,1.0,EUCASTv11_TOB
0.0,0.9847777,1,0.16168258,0,0.3,0.0,0.9953713981390804,1.0,0.7737223285823608,1.0,0.4532156421936379,0.0,EUCASTv11_TOB
0.0,0.04054278,0,0.15504852,0,0.4,0.0,0.017482237670003176,0.0,0.23324245170312255,0.0,0.19725531729161888,0.0,EUCASTv11_TOB
0.0,0.12468675,0,0.0026097298,0,0.28,0.0,0.004975343282494506,0.0,0.19221264048929554,0.0,0.022549922089206708,0.0,EUCASTv11_TOB
1.0,0.9929195,1,0.99999785,1,0.98,1.0,0.9986833243976881,1.0,0.6305195353073996,1.0,0.9977601926692371,1.0,EUCASTv11_TOB
1.0,0.3350784,0,0.09738681,0,0.29,0.0,0.23393032234372896,0.0,0.2815810148388136,0.0,0.16121154628052153,0.0,EUCASTv11_TOB
0.0,0.14835903,0,0.45686454,0,0.41,0.0,0.3820149921792273,0.0,0.7149445157948924,1.0,0.3418844934710671,0.0,EUCASTv11_TOB
1.0,0.0016554892,0,0.00022801757,0,0.0,0.0,0.000895708808312599,0.0,0.14799120286871312,0.0,0.0010455871961491375,0.0,EUCASTv11_TOB
1.0,0.9427953,1,0.9999951,1,0.97,1.0,0.9988012145282724,1.0,0.8187884410518248,1.0,0.9952263268944493,1.0,EUCASTv11_TOB
1.0,0.99947494,1,0.9999987,1,0.95,1.0,0.999964361131118,1.0,0.9352344716839991,1.0,0.9994796960754628,1.0,EUCASTv11_TOB
0.0,0.18869653,0,0.002789855,0,0.19,0.0,0.025051169516946716,0.0,0.3675200104027911,0.0,0.019197023623085063,0.0,EUCASTv11_TOB
0.0,0.017150968,0,0.81664085,1,0.41,0.0,0.6390890471339339,1.0,0.4124030772863308,0.0,0.11541912965256507,0.0,EUCASTv11_TOB
1.0,0.9917177,1,0.98000205,1,0.62,1.0,0.8755898092503916,1.0,0.4045658799132058,0.0,0.9557594123697228,1.0,EUCASTv11_TOB
0.0,0.2166732,0,0.9477421,1,0.4,0.0,0.4522587752919847,0.0,0.4068459381783535,0.0,0.2677434381224644,0.0,EUCASTv11_TOB
0.0,0.18904972,0,0.0082861185,0,0.23,0.0,0.17548237803227318,0.0,0.6385480806026836,1.0,0.0016578495761421592,0.0,EUCASTv11_TOB
0.0,0.015504599,0,0.9990568,1,0.64,1.0,0.9507020621209668,1.0,0.6948773620438836,1.0,0.7494201090478068,1.0,EUCASTv11_TOB
1.0,0.9910752,1,0.8560718,1,0.42,0.0,0.9771051837117677,1.0,0.71470542620528,1.0,0.6349252396503163,1.0,EUCASTv11_TOB
1.0,0.06266537,0,0.014770508,0,0.33,0.0,0.34917798810471995,0.0,0.5177698932684213,1.0,0.1970955762735173,0.0,EUCASTv11_TOB
0.0,0.10699749,0,0.0031692088,0,0.19,0.0,0.005570365974239051,0.0,0.1901799777893785,0.0,0.09973922534064787,0.0,EUCASTv11_TOB
0.0,0.034897923,0,0.04318708,0,0.3,0.0,0.10769407236062341,0.0,0.37097735462656545,0.0,0.12910223855450978,0.0,EUCASTv11_TOB
0.0,0.006992489,0,0.010153264,0,0.21,0.0,0.03852777926712144,0.0,0.3306191821214769,0.0,0.04684973108296333,0.0,EUCASTv11_TOB
0.0,0.020081103,0,0.009016961,0,0.12,0.0,0.001802412151144182,0.0,0.12835286046956762,0.0,0.01122557233267137,0.0,EUCASTv11_TOB
0.0,0.98787624,1,0.99998015,1,0.9,1.0,0.9542979533643756,1.0,0.7837680381267156,1.0,0.8668530411267984,1.0,EUCASTv11_TOB
0.0,0.15889055,0,0.42590126,0,0.43,0.0,0.10519715852889681,0.0,0.36025348986756334,0.0,0.08882020556239666,0.0,EUCASTv11_TOB
