,value,feature
17484,35,xerC_2
17483,27,group_16087
17482,26,group_19245
17481,26,folP_1
17480,25,bla
17479,22,cspD
17478,21,puuA_2
17476,20,group_3559
17475,20,group_15596
17477,20,group_8586
17474,18,bla
17473,16,group_9943
17472,16,group_4146
17471,16,group_19650
17470,16,ccoN1_1
17469,15,tufA_1
17468,15,group_9280
17467,15,group_8777
17466,15,group_8169
17463,14,group_24240
17462,14,group_15119
17461,14,asnB_1
17464,14,group_6571
17465,14,group_8455
17460,13,yebT_1
17459,13,hin_2
17458,13,group_6888
17454,12,group_7305
17451,12,group_10025
17452,12,group_22524
