,value,feature
17484,21,group_16087
17483,17,group_23088
17482,15,group_10764
17481,14,group_23135
17480,13,group_7304
17479,13,group_19812
17478,13,group_12425
17477,12,tufA_1
17476,12,ccoN1_2
17472,11,group_8334
17470,11,fadL
17471,11,group_15119
17474,11,hdfR_4
17473,11,group_9270
17475,11,hicA
17469,10,xerC_2
17468,10,pctB
17467,10,group_2562
17466,10,group_19245
17465,10,glyA_2
17464,10,dnaB_5
17462,9,group_13985
17461,9,group_11245
17460,9,group_10758
17463,9,hcpA_1
17454,8,group_24121
17449,8,paaF_3
17450,8,group_10291
17451,8,group_12865
17452,8,group_17137
