,value,feature
17484,37,group_16087
17483,34,group_8334
17482,30,group_12425
17481,28,sttH_2
17480,28,group_24121
17479,28,group_23498
17478,26,group_31697
17477,25,cspD
17476,21,group_11178
17473,20,group_22885
17475,20,group_8586
17474,20,group_5931
17472,19,group_23088
17471,18,rhlG_1
17470,18,group_19423
17469,17,group_7290
17468,16,rhsC_3
17467,16,malL
17466,15,pctB
17465,15,group_3579
17464,15,group_2437
17463,15,group_19123
17462,15,group_13832
17461,15,cdiA
17458,13,group_243
17456,13,folP_1
17457,13,group_23055
17460,13,group_9280
17459,13,group_536
17455,12,symE
