,value,feature
17484,36,hcpA
17483,36,group_23498
17482,29,oprM_4
17481,27,group_12425
17480,26,glyA_2
17479,25,oprB_3
17478,25,group_7303
17477,23,tufA_1
17476,22,puuA_2
17474,17,group_16885
17475,17,group_9242
17473,16,group_3852
17472,16,group_10258
17471,16,cspD
17470,15,group_12865
17469,13,group_6674
17468,13,group_23056
17467,13,group_20760
17466,13,group_20358
17463,12,group_531
17464,12,group_536
17465,12,group_8557
17462,11,yebT_1
17461,11,pctC_2
17460,11,group_7304
17459,11,group_5981
17458,11,group_5007
17454,10,group_4460
17452,10,group_23055
17449,10,group_11178
