,value,feature
17484,20,group_8334
17483,17,group_9295
17482,16,group_10489
17481,15,xerC_2
17480,14,group_19812
17479,13,group_12425
17478,12,group_24326
17477,12,group_19043
17476,11,ycaC_4
17475,11,group_648
17474,11,group_23135
17470,10,group_20173
17468,10,cas1_1
17469,10,group_12865
17473,10,rtcB_1
17471,10,group_24147
17472,10,group_5289
17467,9,group_2800
17466,9,group_23055
17460,8,group_695
17455,8,group_10706
17456,8,group_1082
17457,8,group_19650
17459,8,group_5844
17458,8,group_20139
17461,8,group_7304
17463,8,group_9046
17464,8,lgrB_4
17465,8,phzA1
17462,8,group_8553
