,value,feature
17484,0.004586739660604609,group_3027
17483,0.004394544046184151,group_17137
17482,0.003796019567025423,group_23680
17481,0.002731275896863918,group_9419
17480,0.002667354596082173,group_24563
17479,0.002666600037633705,dnaB_5
17478,0.0023299022970565612,group_8510
17477,0.0021619308392152314,group_17141
17476,0.0020845125573020094,group_19223
17475,0.0020437669857269187,group_24143
17474,0.001980750728094132,pcrA
17473,0.0019791451889510504,group_64
17472,0.0019383172565392735,group_22996
17471,0.0019034316480266863,group_23424
17470,0.001902774294854436,metP
17469,0.0017907583565595759,xerC_2
17468,0.00178884294624665,group_23227
17467,0.001733471140185345,group_9910
17466,0.001731223347286091,group_10241
17465,0.0016853558340191707,COQ3_6
17464,0.0016843984804673334,group_8569
17463,0.0016815527546199588,group_23135
17462,0.0016302836663038645,group_5374
17461,0.001606384447348253,group_13985
17460,0.0016034112711891403,group_18948
17459,0.0015871300787618373,ccoN1_1
17458,0.0015827549636854327,group_15376
17457,0.0015784721242202277,group_3919
17456,0.0015471771996451295,group_19790
17455,0.0015170303569766131,rep_2
