,value,feature
17484,0.003911173944010713,glyA_2
17483,0.0028457900700185213,group_20720
17482,0.00271439599443975,tufA_1
17481,0.002604352516307678,puuA_2
17480,0.0020626867030557917,group_23498
17479,0.00203022821822295,comM
17478,0.001983728503731915,group_1763
17477,0.0018017972337157333,group_7303
17476,0.0017247407269376095,group_5007
17475,0.0017012644571551988,group_590
17474,0.001655269252864713,rcsB_1
17473,0.0016530086048255994,hcpA
17472,0.001611889125459398,group_31746
17471,0.0015211766689863513,group_5458
17470,0.0015119713811818283,group_24574
17469,0.0014737428576734241,group_19029
17468,0.0014670835106990895,pheC_2
17467,0.0014137697446701932,sttH_2
17466,0.001377074090559988,group_4827
17465,0.0013175299530250222,group_5786
17464,0.001287596765234828,mltD
17463,0.0012696375536378076,group_4997
17462,0.0012577274765842958,group_1189
17461,0.001206542968873897,group_28909
17460,0.001195652182833061,rcsC_2
17459,0.0011851643913522868,group_23567
17458,0.0011822780091316535,group_22018
17457,0.0011587925643106456,group_20859
17456,0.0011523779742952725,rcsC_1
17455,0.001141796081444485,group_13097
