,value,feature
17484,0.004428797243092986,group_31696
17483,0.004198274474316316,folP_1
17482,0.003061255914114567,group_31694
17481,0.002337726698813338,group_31697
17480,0.0023236628005568003,group_23279
17479,0.00203682642292776,ant1
17478,0.0017727120899958084,group_8775
17477,0.001740951989768812,group_7031
17476,0.0016764512203334015,cnrA
17475,0.0015966279952659,cspD
17474,0.001557005109781738,group_9572
17473,0.0015543612478506285,group_8510
17472,0.0013922524366413323,group_2446
17471,0.0013056000495752478,group_20481
17470,0.0012956508065799326,xerC_6
17469,0.001270338704654543,group_4509
17468,0.0012619287809242032,soj_3
17467,0.0012511233802493357,group_20139
17466,0.0012265990724812494,group_9910
17465,0.0011719894479314036,group_11076
17464,0.0011619566955490366,group_8050
17463,0.0011461685932974573,group_8005
17462,0.0011309172560217476,xerC_2
17461,0.0010760568064730157,group_9547
17460,0.0010646760105480744,group_1957
17459,0.0010598517411791652,group_5595
17458,0.0010496988977240205,group_11161
17457,0.001022267401451852,group_18684
17456,0.0010049531798760431,group_8824
17455,0.0009954455601080673,group_10417
