,value,feature
17484,0.00398920372148907,group_1153
17483,0.0032207426411507856,group_9098
17482,0.003103933998167331,group_7450
17481,0.002800888829558626,group_17137
17480,0.0026573028030385843,group_9583
17479,0.0026401846648988992,group_9428
17478,0.002610217054781148,pheC_2
17477,0.002521420292295409,group_19812
17476,0.0024232515542293425,group_6340
17475,0.0024018173698183492,group_23680
17474,0.002389182024267718,group_600
17473,0.0023386264101925213,group_10391
17472,0.002307230295140127,group_22630
17471,0.002298628602036725,merA
17470,0.002200165338149844,anoI
17469,0.002162437433086522,group_3027
17468,0.0021581853521993478,group_9918
17467,0.002131564188692733,virB4_3
17466,0.0021004338405062367,group_1403
17465,0.0020638976362494774,group_65
17464,0.002039279553243646,epsM_2
17463,0.0019645723040122055,group_5936
17462,0.001957341258860345,group_9181
17461,0.0019482544223704229,ttgC_1
17460,0.0018694816209528966,group_23488
17459,0.00186888934161311,group_6823
17458,0.0018686829906761375,group_3616
17457,0.001862830703297656,copC
17456,0.001830334848276266,group_22835
17455,0.0018199053894131193,group_11245
