,value,feature
17484,31,sttH_2
17483,29,group_3852
17482,28,ccoN1_2
17481,23,group_13985
17480,20,group_24943
17479,19,group_19812
17478,17,group_19650
17477,15,group_6477
17476,15,group_24121
17475,14,xerC_3
17474,14,group_536
17473,13,group_19245
17472,13,group_12425
17470,12,group_23962
17469,12,group_23088
17471,12,group_24826
17468,11,puuA_2
17467,11,group_7746
17466,11,group_5167
17465,11,group_2494
17464,10,group_8577
17463,10,group_6428
17462,10,group_10258
17461,10,cas1_1
17457,9,group_23135
17454,9,paaF_3
17455,9,group_1607
17456,9,group_16087
17458,9,group_23498
17460,9,group_9071
