,value,feature
17484,29,group_31697
17483,25,cspD
17482,21,hcpA
17481,20,group_16335
17480,19,group_7303
17479,19,group_15119
17478,18,group_8553
17477,18,group_16087
17473,17,folP_1
17472,17,ant1
17474,17,group_19245
17475,17,tsaM1_2
17476,17,ycaC_4
17471,16,group_6209
17470,15,xerC_2
17469,15,pctC_2
17468,15,group_9270
17467,15,group_23088
17466,15,group_11178
17463,14,wecC
17461,14,group_7760
17462,14,sttH_2
17460,14,group_7137
17464,14,xerC_6
17465,14,yebT_1
17459,13,group_5662
17458,13,group_20738
17457,12,rtcB_1
17456,12,group_1890
17452,11,group_12425
