,value,feature
17484,23,group_15119
17483,22,group_7300
17482,19,group_4944
17481,19,fadL
17480,16,hcpA_1
17479,15,group_7055
17478,14,group_12865
17477,13,group_19078
17475,12,ycaC_4
17474,12,group_8557
17473,12,group_11178
17476,12,yebT_2
17472,11,pctB
17471,11,group_9242
17470,11,group_23088
17469,11,group_19869
17468,11,group_19245
17467,11,group_16202
17466,11,group_16087
17465,11,group_12883
17461,10,group_15831
17458,10,adh_1
17459,10,dapA_2
17460,10,group_12425
17462,10,group_24121
17464,10,dltA_2
17463,10,group_8229
17457,9,dltA_3
17456,9,group_7618
17455,9,group_4831
