,value,feature
17484,37,group_31697
17483,31,group_12425
17482,28,blm
17481,26,folP_1
17480,24,yebT_2
17479,24,hcpA_1
17478,24,group_12865
17477,23,cspD
17474,22,group_2783
17476,22,group_7137
17475,22,group_3852
17473,20,group_6696
17472,19,sttH_2
17471,19,group_536
17470,19,group_15119
17469,18,group_5142
17468,18,group_22245
17467,17,group_9673
17466,17,group_4618
17465,16,group_9910
17464,16,group_5931
17461,15,group_23856
17459,15,group_11179
17460,15,group_23088
17462,15,group_4944
17463,15,symE
17458,14,group_16087
17457,12,group_23962
17456,12,group_2040
17455,12,group_20139
