,value,feature
17484,31,group_16202
17483,24,rhsC_2
17482,19,dltA_2
17481,19,group_10764
17480,16,group_20182
17479,15,group_7211
17478,15,group_20823
17477,14,group_9838
17476,14,group_6535
17473,13,paoC_2
17471,13,group_10883
17472,13,group_23088
17474,13,ssuA_5
17475,13,xerC_5
17470,12,group_4070
17469,12,group_16087
17468,11,group_7478
17467,11,group_4069
17466,11,group_320
17465,10,group_11041
17464,10,dapA_2
17462,9,group_13832
17461,9,group_11101
17463,9,group_5264
17460,8,group_6785
17459,8,group_3658
17458,8,group_1668
17457,8,group_1221
17456,8,group_10759
17455,8,dnaB_2
