,value,feature
17484,33,group_5931
17483,31,folP_1
17482,27,group_4146
17481,27,group_23088
17480,27,group_11179
17479,25,group_16087
17478,24,hcpA_1
17477,24,group_12865
17476,23,group_12425
17475,21,group_19078
17473,20,group_15119
17474,20,group_23498
17472,19,xerC_2
17471,16,group_2800
17470,16,group_23856
17469,16,group_16202
17468,16,group_13985
17467,15,group_9242
17466,15,group_22188
17465,13,group_7304
17464,13,group_6131
17463,13,group_2575
17459,12,group_19245
17456,12,ccoN1_2
17457,12,group_10181
17458,12,group_18425
17461,12,group_4944
17460,12,group_24143
17462,12,rtcB_1
17455,11,oprB_3
