,value,feature
17484,34,group_23135
17483,24,lgrB_4
17482,23,cspD
17481,19,group_23088
17480,19,group_21493
17479,18,group_8123
17478,17,xerC_6
17477,17,group_8908
17476,17,group_24179
17475,16,group_23498
17474,14,group_12865
17473,14,group_11179
17472,13,pxpC_4
17471,13,group_12883
17470,12,oprB_2
17469,11,yebT_1
17468,11,pctC_2
17467,11,group_6570
17466,11,group_4647
17465,11,group_1133
17464,11,group_10697
17463,10,group_22308
17462,10,group_1763
17459,9,group_11246
17460,9,group_16921
17461,9,hcpA
17458,8,hcpA_1
17457,8,group_9682
17456,8,group_4901
17455,8,group_3789
