,value,feature
17484,0.004073204904176252,group_3222
17483,0.003498678261554054,group_18883
17482,0.003403263755582081,group_8510
17481,0.0031913151021868025,folP_1
17480,0.0030794828165047533,group_910
17479,0.003059598170237275,group_21336
17478,0.0030001397680485165,group_3389
17477,0.0025019953334383905,group_24143
17476,0.002341748179821349,group_5837
17475,0.002306134723719542,group_14165
17474,0.0022812972910813702,ybcO
17473,0.0022810565374584576,blm
17472,0.0022375727430427924,group_9873
17471,0.002203788236976562,group_17946
17470,0.0022007648109492518,group_10321
17469,0.002186196380361072,group_19446
17468,0.0021232106484192826,group_16173
17467,0.002044915193878874,group_9368
17466,0.0020176599117278805,group_8530
17465,0.0020111082182498025,AAH1
17464,0.0019853230472738244,plcN_2
17463,0.0019646437548771663,group_11893
17462,0.0019529687152822234,group_23135
17461,0.0018668238919863091,group_20025
17460,0.0018596685787185478,group_16719
17459,0.00184218056861868,group_6054
17458,0.0018294682977042895,group_1133
17457,0.0017840477975732583,group_24795
17456,0.0017749579800282014,ant1
17455,0.0017687641242098396,group_14166
