,value,feature
17484,0.0065381549622429095,group_23279
17483,0.004709229842254233,sttH_2
17482,0.0037971888184932727,cspD
17481,0.003209189924859641,xerC_2
17480,0.0030673879503202283,group_31694
17479,0.0025627121319568564,copR_2
17478,0.0022926861620719964,group_23498
17477,0.0022293857427594776,group_5931
17476,0.002169316948883146,group_9463
17475,0.0021366395022160826,group_5057
17474,0.00205557412567978,group_23135
17473,0.0019729989272305407,group_31697
17472,0.00195148211730301,group_9910
17471,0.0018597389577981191,group_24143
17470,0.00184698392815492,group_536
17469,0.0017216696050110813,cas2
17468,0.0017141819451662915,group_10167
17467,0.0016657895741252727,copD
17466,0.0016317789739210466,group_8066
17465,0.0016132716050041354,group_19423
17464,0.0016064380290069862,group_7300
17463,0.0015077647908542727,group_24097
17462,0.0014505508271904367,group_10930
17461,0.0014352395073892958,folP_1
17460,0.0014150142835451455,copB_2
17459,0.001394510923951276,group_23088
17458,0.0013757961606930824,group_7336
17457,0.0013604012183208885,group_2800
17456,0.0012480569976663844,pctC_2
17455,0.0011786123354243355,group_8753
