,value,feature
17484,0.006829501085183546,group_11799
17483,0.006017604054693331,group_20326
17482,0.005905872204204544,group_14670
17481,0.005511955140777775,group_5741
17480,0.0051624954494969965,group_7516
17479,0.004471450753767648,bla
17478,0.004188526358997632,group_25162
17477,0.003915178455304503,group_133
17476,0.0038933789623970348,group_13097
17475,0.0036698109224631036,group_2400
17474,0.0036044442116134837,group_8785
17473,0.003006540907968007,dpnM
17472,0.0030016787272117685,group_1912
17471,0.0029408392903682388,group_10490
17470,0.0028885169114044847,group_3917
17469,0.0028652595748284776,group_3919
17468,0.0028543345793874348,group_13485
17467,0.0028243748189905192,xpkA
17466,0.002748796068911348,group_20862
17465,0.002733695260813585,group_2447
17464,0.0026714361540566616,group_20837
17463,0.0026649716982399684,group_22404
17462,0.0026091281420733197,dnaE2_1
17461,0.0025382327041323684,group_18544
17460,0.00250502791661254,pntB
17459,0.00245741750865884,group_22008
17458,0.0024517907378836606,group_15002
17457,0.0024002663841590083,group_16087
17456,0.0023763177565157213,group_8604
17455,0.0023647427300197885,dmoA
