,value,feature
17484,0.007871240818322923,group_21942
17483,0.004604915319229899,group_24326
17482,0.004520230930597478,group_12255
17481,0.004479254270734029,group_802
17480,0.003230329170195262,group_21890
17479,0.002984739202880274,group_5364
17478,0.00292359862292583,group_9572
17477,0.002876866039685722,group_256
17476,0.0028643098360632614,group_5005
17475,0.0028529396330740737,group_17871
17474,0.0026937367824424047,group_22617
17473,0.0026719344776114946,group_14248
17472,0.0026691465194136977,group_21663
17471,0.0025332999858340534,group_1866
17470,0.0025068121320511046,group_23471
17469,0.0024500211006634794,group_9244
17468,0.002299311510423871,group_23135
17467,0.0021857871069862226,group_6040
17466,0.002098329608821085,group_20354
17465,0.0020478214708408798,group_7300
17464,0.0019928616482997727,group_5876
17463,0.0019716481777021766,group_23008
17462,0.0019438581513118542,group_20805
17461,0.0019394890629239828,group_10087
17460,0.0019394069814645033,xerC_2
17459,0.0019374772560732862,group_9949
17458,0.001784321116512899,epsF_2
17457,0.0017724399107268316,group_11206
17456,0.0017689426538927955,group_9463
17455,0.0017609906079123947,group_4509
