,value,feature
17484,0.00492928123307131,group_31697
17483,0.003962401813111309,xerC_2
17482,0.00392821622748742,group_31694
17481,0.0034428101694007856,group_31696
17480,0.0032570112441537274,group_13652
17479,0.002716489564830917,group_5931
17478,0.0025779545803660086,sttH_2
17477,0.0025502906866852215,group_9067
17476,0.002521087303799509,group_9485
17475,0.002453679325562586,group_8732
17474,0.002404497522723471,group_4917
17473,0.0023553639151030065,group_6997
17472,0.0023315209235730697,cspD
17471,0.002172013921295715,group_23279
17470,0.0021612000990412603,group_10464
17469,0.002141010035409394,group_2800
17468,0.00212941988729031,group_8775
17467,0.0020907666405326074,group_10973
17466,0.00189029081734909,group_10289
17465,0.0018067342774668292,topB_1
17464,0.0017993638251469135,group_7450
17463,0.0017846862902246726,group_9057
17462,0.0017588719861527805,group_9428
17461,0.0017061490786064166,group_19645
17460,0.0016346362847208726,yebT_2
17459,0.0014077431784820192,group_9675
17458,0.0013921134245723557,group_9797
17457,0.0013706918287125487,group_11109
17456,0.001341301681608185,group_10706
17455,0.001333278275107459,group_9304
