,value,feature
17484,0.006787186184209695,group_10026
17483,0.0059888937358757895,group_20721
17482,0.005781496016712606,group_9360
17481,0.005716334650465001,group_23794
17480,0.004567349672427476,group_751
17479,0.004533505497542151,mutL
17478,0.004413293716103229,repE
17477,0.004187038171473599,group_30727
17476,0.004033868115559525,group_3183
17475,0.003987285175248427,sodB_1
17474,0.003972070484673648,group_6373
17473,0.003753322196111943,group_13388
17472,0.0035852205799676053,group_4377
17471,0.00354659721169328,group_9809
17470,0.0032469760118968853,group_5347
17469,0.003160154719876571,group_2580
17468,0.003149749978984456,pepQ
17467,0.0031062351597659454,atsA_1
17466,0.003055679727769199,group_10887
17465,0.0028899612861241638,mhpB
17464,0.0028595567892202214,coq7
17463,0.002858533130086705,group_18879
17462,0.002827614660111508,group_5673
17461,0.002808051973147191,tnsA
17460,0.002728749932340844,group_8921
17459,0.0026847600718831036,group_21217
17458,0.0026332533197925773,group_13390
17457,0.002619244492961419,group_2597
17456,0.0026115437240935217,group_20305
17455,0.0026050848367086643,group_21235
