,value,feature
17484,0.005347001230487112,group_10464
17483,0.0050596995694377365,folP_1
17482,0.004314921738961157,group_9428
17481,0.004145025557630015,group_9057
17480,0.0036169777000728542,group_6997
17479,0.003519628637493956,group_8732
17478,0.003359115708814437,group_8775
17477,0.0031899709742792643,soj_3
17476,0.003168027971154866,group_11256
17475,0.003101342346042452,group_11068
17474,0.0030935657668533724,xerC_2
17473,0.003022168465500472,group_10391
17472,0.002837896769602628,group_11245
17471,0.0028370253602931356,group_21285
17470,0.0026441131064686946,group_4120
17469,0.002485945710823722,group_746
17468,0.00242701180179914,topB_1
17467,0.0024025909660433846,group_17141
17466,0.0023794494140099375,group_8510
17465,0.002364602450048099,group_7670
17464,0.0023291244073062266,group_10961
17463,0.0022590977873144418,group_6761
17462,0.0022088866290205585,group_8961
17461,0.0022016407219830514,group_10086
17460,0.0021477856032572533,group_9176
17459,0.002145727226446375,group_3027
17458,0.0020761395254338777,group_10180
17457,0.0020574996782143553,group_10941
17456,0.002020051090909415,group_4509
17455,0.002008679046295282,group_6223
