,value,feature
17484,0.006324722148124792,group_23210
17483,0.005354972130436276,metP
17482,0.004453501015118261,group_22905
17481,0.0036858088730271858,group_24383
17480,0.0036697000835795406,ant1
17479,0.0036604770967258236,group_6687
17478,0.003470920125614017,group_23945
17477,0.0034358013287745675,group_8645
17476,0.0034008560440673633,group_9418
17475,0.003392565604916944,group_24384
17474,0.0032635089122111122,epsN
17473,0.0032585471466762155,sasA_7
17472,0.0031597780320472037,group_21847
17471,0.003103629498623668,group_9332
17470,0.0029701279036885757,group_15002
17469,0.0029388545770831385,blm
17468,0.0029040537066818157,group_19121
17467,0.0028245038673739868,pepQ
17466,0.0026941455860783575,group_23288
17465,0.0026803210589835132,group_20326
17464,0.0026172086919941328,group_8785
17463,0.0024830421138165963,group_22913
17462,0.0023982160699051146,group_3701
17461,0.002326675451394781,group_24183
17460,0.002277409610799774,group_18618
17459,0.002277274850310293,group_11179
17458,0.002268463831461424,leuA_2
17457,0.0022483342395628802,group_18544
17456,0.0022287129288515515,gntR_4
17455,0.002215868505818479,group_23756
